session,role,group,label_stability_pct,mean_displacement_m,n_windows,n_windows_rejected,pct_windows_rejected,low_denominator,note
S-A4,excluded,A,,,0,0,,False,no usable GPS labels
S-Y1,excluded,Y,1.678132992075132,8.24463361765338,66710,11,0.016486563450787608,False,
S-I,ood_spotcheck,I,,,0,0,,False,no usable GPS labels
S-A1,robustness_2hz,A,0.07561154140875938,22.937198623615664,29022,29,0.09982444666276548,False,
S-A10,robustness_2hz,A,3.903627263627197,11.75833403531001,44220,0,0.0,False,
S-A11,robustness_2hz,A,0.4344496286095707,19.610710139630978,25441,0,0.0,False,
S-A12,robustness_2hz,A,0.45320010103281766,21.759815994605265,23215,0,0.0,False,
S-A13,robustness_2hz,A,0.4569226723434369,18.840388302425172,41536,4364,9.507625272331154,False,
S-A2,robustness_2hz,A,0.035753645031126866,29.145650335746627,57144,41,0.0716971233715135,False,
S-A3,robustness_2hz,A,0.04942760929762743,23.12500359000977,55511,0,0.0,False,
S-A9,robustness_2hz,A,3.6723115638460104,11.150586027434139,59420,0,0.0,False,
V-M,stage0_only,M,2.337439862742849,9.94987070416744,105962,0,0.0,False,
V-S1,stage0_only,S,3.435831608801106,7.369425823471302,51735,0,0.0,False,
V-S2,stage0_only,S,3.0281501725024698,8.05826759217939,93865,0,0.0,False,
V-S3a,stage0_only,S,2.028607673056267,10.556344375861707,24610,0,0.0,False,
V-S3b,stage0_only,S,5.4001171028450035,5.5283395407142395,6802,0,0.0,False,
V-S3c,stage0_only,S,2.2755196056449014,11.879816239654307,37160,12,0.03228236306897665,False,
V-S4,stage0_only,S,2.3736587206434536,9.365787464642354,94590,0,0.0,False,
V-St1,stage0_only,St,2.9177597885821784,8.215945554679783,57194,8,0.013985524981643998,False,
V-St4,stage0_only,St,0.5188809595515518,20.971687930616298,13580,0,0.0,False,
V-St6,stage0_only,St,0.45389851289475924,22.128121731224482,51350,0,0.0,False,
V-St7,stage0_only,St,0.5479237566297475,19.972745260184237,45088,0,0.0,False,
V-Vfa01,stage0_only,Vfa,1.360611776086039,16.306126412328258,11525,0,0.0,False,
V-Vfa02,stage0_only,Vfa,0.6173914289646519,24.09463841392632,67735,10,0.0147612369916599,False,
V-Vfb01a,stage0_only,Vfb,5.6240303523247395,3.8924392581414353,16980,10,0.05885815185403178,False,
V-Vfb01b,stage0_only,Vfb,1.8413685814684493,10.481410215685798,3870,0,0.0,False,
V-Vfb01c,stage0_only,Vfb,1.076481371880838,16.87999762597379,6310,0,0.0,False,
V-Vfb01d,stage0_only,Vfb,5.688362920106395,3.169944962775126,10703,0,0.0,False,
V-Vfb02a,stage0_only,Vfb,0.41784525306927134,26.842762620990968,35950,0,0.0,False,
V-Vfb02b,stage0_only,Vfb,4.659668149640784,6.98660846794714,10990,0,0.0,False,
V-Vfb02c,stage0_only,Vfb,5.232358512064369,8.330830746635506,630,0,0.0,False,
V-Vfb02d,stage0_only,Vfb,3.72192485003225,9.510978919225284,870,0,0.0,False,
V-Vfb02e,stage0_only,Vfb,1.4862143081573327,15.544817637381946,970,0,0.0,False,
V-Vfb02f,stage0_only,Vfb,4.830264160201696,7.093200712802097,650,0,0.0,False,
V-Vfb02g,stage0_only,Vfb,0.6356331341560018,23.408802970081158,27149,0,0.0,False,
V-vta10,stage0_only,Vta,0.910584482425394,24.98008974719235,1491,0,0.0,False,
V-vta11,stage0_only,Vta,3.7152591832391217,13.92146924880174,500,0,0.0,False,
V-vta12,stage0_only,Vta,1.8331942865219355,18.47759985733373,600,0,0.0,False,
V-vta13,stage0_only,Vta,1.3019818591434746,24.322075984123632,393,0,0.0,False,
V-vta14,stage0_only,Vta,0.8190087388034564,18.83487673752099,2874,0,0.0,False,
V-vta15,stage0_only,Vta,0.6798584703232813,19.907915247083828,822,0,0.0,False,
V-vta16,stage0_only,Vta,1.7017703018151724,12.067517010529002,11325,0,0.0,False,
V-vta17,stage0_only,Vta,3.2179820519464624,9.082080363139665,4508,0,0.0,False,
V-Vta18,stage0_only,Vta,,,0,0,,False,no usable GPS labels
V-vta19,stage0_only,Vta,5.509717989598663,8.111767616757348,281,0,0.0,False,
V-Vta1a,stage0_only,Vta,1.4869153986556132,15.870463215419553,25665,0,0.0,False,
V-Vta1b,stage0_only,Vta,3.102051619024856,13.195002109162575,942,0,0.0,False,
V-vta2,stage0_only,Vta,2.344821110233364,10.076337936081758,10980,0,0.0,False,
V-vta20,stage0_only,Vta,5.116859245520768,1.210173087250237,3212,0,0.0,True,
V-vta21,stage0_only,Vta,2.4208036093954712,13.296777681814623,2069,0,0.0,False,
V-vta22,stage0_only,Vta,2.542069743114629,10.626078919453176,1554,0,0.0,False,
V-vta23,stage0_only,Vta,2.662415436305417,9.812324813317248,1100,0,0.0,False,
V-vta24,stage0_only,Vta,4.342267903601149,5.933171849174103,1160,0,0.0,False,
V-vta25,stage0_only,Vta,12.984519955075118,2.3976995146026243,635,0,0.0,False,
