session,role,group,country_expected,bbox_pass,start_lat,start_lon,end_lat,end_lon,path_km,sweep_distance_km,distance_rel_err,distance_pass,n_jumps,max_jump_m,jump_pass,end_to_start_m,loop_pass,note
S-A4,excluded,A,UK,True,52.185665,-1.877144,51.819263,-2.223343,54.72047762128546,54.72047762128546,0.0,True,0,,,47182.145205843495,,
S-I,ood_spotcheck,I,Nigeria,True,6.44293,3.410031,6.442914,3.410001,0.059484013682948145,0.0594840136829481,6.999084433903649e-16,True,0,31.3816817505935,True,3.76205053235672,True,
S-A1,robustness_2hz,A,UK,True,52.43163,-1.525745,51.94857,-1.202399,67.92151831994654,67.92151831994654,0.0,True,2,5743.831594003997,False,58105.87440458485,,
S-A10,robustness_2hz,A,UK,True,52.422844,-1.52182,52.4546,-1.906197,51.884356720362625,51.884356720362625,0.0,True,0,40.09940198894268,True,26284.06531659646,,
S-A11,robustness_2hz,A,UK,True,52.43164,-1.525722,52.15693,-1.884484,49.79959141580177,49.79959141580177,0.0,True,0,818.1702954973281,True,39141.5528154657,,
S-A12,robustness_2hz,A,UK,True,52.15681,-1.884516,51.819008,-2.223043,50.43596872327509,50.43596872327509,0.0,True,0,1082.9820941584367,True,44185.092001749814,,
S-A13,robustness_2hz,A,UK,True,50.913532,-3.478752,50.871544,-4.43535,324.919793816359,324.919793816359,0.0,True,2,126266.23545995756,False,67287.41928677505,,
S-A2,robustness_2hz,A,UK,True,52.218723,-1.502687,51.258804,-0.069686,166.6480629136053,166.6480629136053,0.0,True,2,6192.409585045182,False,146070.26551518223,,
S-A3,robustness_2hz,A,UK,True,51.94965,-1.200867,51.161964,-0.222593,128.16483772539223,128.16483772539223,0.0,True,2,5909.887445828811,False,111018.36635019006,,
S-A9,robustness_2hz,A,UK,True,52.49089,-2.197581,52.431503,-1.440212,66.09457596600498,66.09457596600498,0.0,True,1,32.28630390779129,False,51769.92628420648,,
V-M,stage0_only,M,UK,True,52.4025641,-1.5034825,52.4132793,-1.5306981,105.21815841222899,105.218158412229,1.3506085764708027e-16,True,8,44.14368414432977,False,2197.0245625787647,,
V-S1,stage0_only,S,UK,True,52.4017192,-1.5053331,52.403121000000006,-1.5579614,38.04376612730906,38.04376612730906,0.0,True,3,10.001699718961168,False,3573.717847472645,,
V-S2,stage0_only,S,UK,True,52.4031372,-1.557977,52.5552654,-1.4590376,75.47595756813013,75.47595756813013,0.0,True,0,2.940353961663408,True,18190.342400598416,,
V-S3a,stage0_only,S,UK,True,52.4048835,-1.5002890999999998,52.3707538,-1.2543473,25.919615386924562,25.91961538692456,1.370666047997266e-16,True,0,2.7134708317206426,True,17122.847149683388,,
V-S3b,stage0_only,S,UK,True,52.3704618,-1.2544278,52.3792637,-1.2611948999999998,3.7650171587951835,3.765017158795183,1.1795144381019833e-16,True,0,1.2517898041986577,True,1081.1520750705897,,
V-S3c,stage0_only,S,UK,True,52.3794122,-1.2617807,52.4056755,-1.5001132,44.13823361516436,44.13823361516436,0.0,True,19,92.07486086807752,False,16429.233032725704,,
V-S4,stage0_only,S,UK,True,52.40245660000001,-1.5053917999999995,52.404443099999995,-1.5055807,88.42444227951935,88.42444227951935,0.0,True,0,3.0444532242564804,True,221.2601237809458,False,
V-St1,stage0_only,St,UK,True,52.40716380000001,-1.5244733,52.4056331,-1.5001644000000005,46.95737211718049,46.95737211718049,0.0,True,7,22.93457883303298,False,1657.7886211885784,,
V-St4,stage0_only,St,UK,True,52.4043335,-1.5012401,52.2183015,-1.5021474,28.431427076450905,28.431427076450905,0.0,True,0,3.861694438877839,True,20685.906935612027,,
V-St6,stage0_only,St,UK,True,52.218326300000015,-1.5021495,51.7624114,-1.2732289,113.4242095796797,113.4242095796797,0.0,True,0,3.3877263240437148,True,53087.03267000234,,
V-St7,stage0_only,St,UK,True,51.7623562,-1.2733173999999996,52.4006856,-1.498819,89.92429304320031,89.92429304320031,0.0,True,4,65.9083198804659,False,72609.05150686747,,
