filename,session,group,family,tree,subtree,n_rows,duration_s,distance_km,dt_median_ms,dt_p05_ms,dt_p95_ms,effective_hz,hz_tick,dt_mode_ms,bimodal_dt,hz_from_date,duration_s_date,rows_per_s,dup_timestamp_frac,accel_mag_median,gyro_abs_p99,speed_ratio,n_columns,columns_hash,lat_min,lat_max,lon_min,lon_max,relpath,error
S-A1.csv,A1,A,S,Unsynchronised,Uncategorised,5942,2970.605,67.92151831994654,500.0,498.9999999997963,501.0000000002037,2.0,2.0,500.0,False,2.0,2970.605,1.9999293073296518,0.0,9.793908391353318,0.0964,,24,6ec6776e0230,51.94857,52.43163,-1.612928,-1.202399,Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/S-Dataset/S-A1.csv,
S-A10.csv,A10,A,S,Unsynchronised,Uncategorised,8886,4442.5,51.884356720362625,500.0,498.9999999997963,501.0000000002037,2.0,2.0,500.0,False,2.0,4442.5,2.0,0.0,9.827542624134818,0.1101449999999999,3.5803247114901153,24,6ec6776e0230,52.42028,52.49792,-1.90678,-1.521726,Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/S-Dataset/S-A10.csv,
S-A11.csv,A11,A,S,Unsynchronised,Uncategorised,5155,2577.0,49.79959141580177,500.0,498.9999999997963,501.0000000002037,2.0,2.0,500.0,False,2.0,2577.0,2.0,0.0,9.696207306983489,0.090546,1.0049731910104984,24,6ec6776e0230,52.1567,52.431664,-1.884556,-1.491086,Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/S-Dataset/S-A11.csv,
S-A12.csv,A12,A,S,Unsynchronised,Uncategorised,4673,2335.999,50.43596872327509,500.0,498.9999999999668,501.0000000000332,2.0,2.0,500.0,False,2.0,2335.999,2.00000085616475,0.0,9.701324076124866,0.114,0.9998051753814801,24,6ec6776e0230,51.819008,52.15681,-2.224006,-1.884516,Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/S-Dataset/S-A12.csv,
S-A13.csv,A13,A,S,Unsynchronised,Uncategorised,9184,4591.5,324.919793816359,500.0,499.00000000000233,500.99999999999943,2.0,2.0,500.0,False,2.0,4591.5,2.0,0.0,9.720032478525074,0.1555,1.0007940480099498,24,6ec6776e0230,50.87106,51.71715,-4.48497,-2.303545,Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/S-Dataset/S-A13.csv,
S-A2.csv,A2,A,S,Unsynchronised,Uncategorised,11630,5814.5,166.6480629136053,500.0,498.9999999997963,501.0000000002037,2.0,2.0,500.0,False,2.0,5814.5,2.0,0.0,9.82243534898113,0.1257,3.716642843543674,24,6ec6776e0230,51.257977,52.218723,-1.502687,-0.069686,Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/S-Dataset/S-A2.csv,
S-A3.csv,A3,A,S,Unsynchronised,Uncategorised,11132,5566.028,128.16483772539223,500.0,498.9999999997963,501.0000000002037,2.0,2.0,500.0,False,2.0,5566.028,1.9998102776342483,0.0,9.830073916667857,0.123,1.070324894139242,24,6ec6776e0230,51.161964,51.94965,-1.206313,-0.222593,Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/S-Dataset/S-A3.csv,
S-A4.csv,A4,A,S,Unsynchronised,Uncategorised,32829,,54.72047762128546,,,,,,,False,,,,,,9.8067,,25,0fa5bd883792,51.819263,52.185726,-2.223642,-1.877144,Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/S-Dataset/S-A4.csv,
S-A5.csv,A5,A,S,Unsynchronised,Uncategorised,85041,8504.349,128.61556246128214,99.99999999999432,98.9999999999327,101.00000000056752,10.000000000000568,10.000000000000568,100.0,False,10.000000000000568,8504.349,9.99958962173354,0.0,9.824126029321896,0.0682,0.997363450892333,24,6ec6776e0230,50.97236,51.819527,-3.218043,-2.223346,Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/S-Dataset/S-A5.csv,
S-A6.csv,A6,A,S,Unsynchronised,Uncategorised,86034,8537.402,180.19169201406802,100.00000000000142,98.99999999970532,101.00000000056752,9.999999999999858,9.999999999997726,100.0,False,9.999999999999147,8537.402,10.077187416031247,9.298649371178836e-05,9.809716597078634,0.08,0.9972831024433378,24,6ec6776e0230,50.41365,50.98627,-5.033129,-3.19069,Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/S-Dataset/S-A6.csv,
